Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
2017/1/31,45415,OH,Dayton,Montgomery,Clayton,7617,1048,-0.009451796,-0.019644528,-0.0056926,4677
2017/1/31,33035,FL,Miami-Fort Lauderdale,Miami-Dade,Homestead,7618,1417,0.004252303,0.008540925,0.044985251,8857
2017/1/31,19473,PA,Philadelphia,Montgomery,Perkiomen,7619,1846,-0.003777658,-0.005923533,0.014843321,5478
2017/1/31,93221,CA,Visalia,Tulare,Exeter,7620,1202,-0.002489627,-0.00661157,-0.000831255,4201
2017/1/31,62896,IL,,Franklin,West Frankfort,7621,930,-0.008528785,-0.016913319,-0.030239833,4836
2017/1/31,98065,WA,Seattle,King,Snoqualmie,7622,2520,0.005185481,0.017359709,0.047381546,5573
2017/1/31,10302,NY,New York,Richmond,New York,7623,2099,0.00430622,0.007681229,0.031449631,3904
2017/1/31,77701,TX,Beaumont,Jefferson,Beaumont,7624,802,0.0025,0,0.016476553,4797
2017/1/31,41653,KY,,Floyd,Prestonsburg,7625,876,-0.003412969,0.00921659,0.022170362,1619
2017/1/31,24121,VA,Roanoke,Franklin,Moneta,7626,1464,0.002739726,0.025210084,0.088475836,6741
2017/1/31,47807,IN,Terre Haute,Vigo,Terre Haute,7627,596,0.008460237,0.022298456,-0.024549918,4077
2017/1/31,82935,WY,Rock Springs,Sweetwater,Green River,7628,1384,0.00727802,0.022912047,-0.01213419,3765
2017/1/31,43558,OH,Toledo,Fulton,Swanton,7629,1187,0.001687764,0.008496177,-0.024650781,4404
2017/1/31,15522,PA,,Bedford,Bedford Township,7630,1140,-0.004366812,0.005291005,-0.011274935,3478
2017/1/31,95673,CA,Sacramento,Sacramento,Rio Linda,7631,1444,0.002081888,0.005571031,0.063328424,4702
2017/1/31,97056,OR,Portland,Columbia,Scappoose,7632,1639,0.00799508,0.028876334,0.125686813,2656
2017/1/31,90402,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Santa Monica,7633,12508,0.004174695,0.008465694,0.04950495,4695
